index,commit,changed_opam_files,package_versions,package_names,dep_clause_facts,candidate_facts,conflict_facts,input_facts,input_delta_abs,violations,batch_ms,batch_max_rss_mb,fact_generation_ms,incremental_commit_ms,violation_delta_abs
0,0d8fa4e2785b,0,18851,4482,137179,1692545,27313,1857037,1857037,1710,1129.91,151.75,8137.246,1891.756,1710
1,94c943996066,1,18852,4482,137218,1692849,27351,1857418,381,1711,772.212,152.016,7814.458,2.899,1
2,8f80abeb7b22,1,18853,4482,137228,1692931,27351,1857510,92,1711,889.967,151.812,8056.802,0.89,0
3,dd592986d47d,1,18854,4482,137235,1694999,27391,1859625,2115,1711,775.884,152.062,7919.444,8.327,0
4,24c3efe52d0b,1,18855,4482,137244,1695090,27391,1859725,100,1711,784.965,152.062,7827.848,1.204,0
5,d1c56642b8ca,1,18855,4482,137244,1695088,27391,1859723,26,1711,777.812,152.031,6503.473,0.989,0
6,b07e25ba4a95,1,18856,4483,137244,1695088,27391,1859723,0,1711,774.017,152.031,6125.384,0.158,0
7,29b41dcbd825,1,18857,4483,137248,1695140,27391,1859779,56,1711,803.795,152.016,6130.963,0.737,0
8,6eba819fc9cf,1,18858,4483,137253,1695215,27391,1859859,80,1711,779.686,152.016,6034.914,0.749,0
9,e97fe5096906,2,18860,4483,137266,1695348,27391,1860005,146,1711,784.478,152.062,6086.229,0.876,0
10,759cc913688f,1,18861,4483,137278,1695461,27391,1860130,125,1711,783.599,152.062,6136.783,0.724,0
11,ea0080d051e5,1,18862,4483,137306,1695592,27391,1860289,159,1711,773.328,152.078,6111.222,0.957,0
12,08cd46246bf6,7,18869,4483,137346,1696106,27391,1860843,554,1711,777.868,152.0,5614.085,1.742,0
13,1e9db12c610a,2,18871,4485,137357,1696269,27391,1861017,174,1711,788.607,151.859,5644.04,0.837,0
14,25459587867b,4,18875,4485,137381,1696668,27393,1861442,425,1711,774.672,152.094,5651.879,1.785,0
15,76bd899e94da,3,18878,4488,137400,1696797,27393,1861590,148,1711,774.307,152.062,5732.918,1.151,0
16,f90b1e38d079,1,18879,4488,137406,1696878,27394,1861678,88,1711,788.123,151.922,5644.194,0.895,0
17,3cf2439784d0,1,18880,4488,137422,1696931,27394,1861747,69,1711,784.775,151.922,5677.706,0.62,0
18,ad878f6a589e,1,18881,4488,137426,1696983,27394,1861803,56,1711,795.503,151.922,5726.823,0.559,0
19,acfaa9d47bde,1,18882,4489,137427,1696990,27394,1861811,8,1711,782.659,151.922,5604.363,0.594,0
20,cb8d11035ca0,1,18883,4489,137431,1697059,27394,1861884,73,1711,791.821,151.922,5663.492,0.721,0
21,96458ecf7513,1,18884,4490,137431,1697059,27394,1861884,0,1711,781.492,151.922,5659.032,0.154,0
22,6a81fcd7e7fe,1,18885,4491,137436,1697097,27394,1861927,43,1711,788.138,151.922,5615.115,0.622,0
23,7d5cbdbc1151,3,18888,4491,137461,1697320,27397,1862178,251,1711,775.753,151.875,5648.306,1.181,0
24,9226b95ebeaa,2,18888,4491,137461,1697334,27397,1862192,70,1711,944.745,151.812,6333.338,1.496,0
25,0b65185ca40c,1,18889,4491,137468,1697439,27441,1862348,156,1711,776.782,151.891,6158.53,1.25,0
26,ade76687fbc9,2,18891,4493,137486,1697570,27441,1862497,149,1711,785.214,151.969,5678.953,0.867,0
27,eefeb7b6e506,2,18893,4493,137494,1697720,27441,1862655,158,1711,783.963,152.094,5719.468,0.986,0
28,622e2cd03db6,3,18896,4493,137519,1697947,27444,1862910,255,1711,785.254,152.016,5617.045,1.371,0
29,9ed793693353,1,18897,4493,137533,1698042,27444,1863019,109,1711,782.257,152.094,5664.693,0.546,0
